Strain Name	Virus Species	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type
BatCoV5425/KEN/Trans Nzoia	Human coronavirus 229E	MH170145	245	03/2016	Bat	Rousettus aegyptiacus	Kenya	genomic RNA	
BatCoV5743/KEN/Kwale	Human coronavirus 229E	MH170146	297	03/2016	Bat	Hipposideros caffer	Kenya	genomic RNA	
BatCoV5773/KEN/Kwale	Human coronavirus 229E	MH170147	245	03/2016	Bat	Hipposideros caffer	Kenya	genomic RNA	
BtCov-Zim001Mab	Human coronavirus 229E	MG000865	411	06/17/2016	Bat	Hipposideros sp.	Zimbabwe	genomic RNA	
BtCov-Zim015Mab	Human coronavirus 229E	MG000866	411	06/17/2016	Bat	Hipposideros sp.	Zimbabwe	genomic RNA	
BtCov-Zim019Mab	Human coronavirus 229E	MG000867	411	06/17/2016	Bat	Hipposideros sp.	Zimbabwe	genomic RNA	
BtCov-Zim021Mab	Human coronavirus 229E	MG000868	411	06/17/2016	Bat	Hipposideros sp.	Zimbabwe	genomic RNA	
BtCov-Zim034Mab	Human coronavirus 229E	MG000871	415	06/17/2016	Bat	Hipposideros sp.	Zimbabwe	genomic RNA	
BtCov-Zim037Mab	Human coronavirus 229E	MG000869	412	06/17/2016	Bat	Hipposideros sp.	Zimbabwe	genomic RNA	
BtCov-Zim040Mab	Human coronavirus 229E	MG000870	383	06/17/2016	Bat	Hipposideros sp.	Zimbabwe	genomic RNA	
BtCoV/AT1A-F1/Hip_aba/GHA/2010	Human coronavirus 229E	KT253272	28688	2010	Bat	Hipposideros abae	Ghana	genomic RNA	
BtCoV/AT1A-F26/Hip_cf._rub/GHA/2010	Human coronavirus 229E	KT253273	816	2010	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/AT1A-F41/Hip_aba/GHA/2010	Human coronavirus 229E	KT253260	5665	2010	Bat	Hipposideros abae	Ghana	genomic RNA	
BtCoV/AT1A-F45/Hip_aba/GHA/2010	Human coronavirus 229E	KT253259	5665	2010	Bat	Hipposideros abae	Ghana	genomic RNA	
BtCoV/AT1A-F63/Hip_aba/GHA/2010	Human coronavirus 229E	KT253274	816	2010	Bat	Hipposideros abae	Ghana	genomic RNA	
BtCoV/BUO1E-F102/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253275	816	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/BUO1E-F82/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253276	816	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/BUO2A-75/Hip_aba/GHA/2010	Human coronavirus 229E	KT253266	5005	2010	Bat	Hipposideros abae	Ghana	genomic RNA	
BtCoV/BUO2A-F15/Hip_cf._rub/GHA/2010	Human coronavirus 229E	KT253277	816	2010	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/BUO2A-F23/Hip_cf._rub/GHA/2010	Human coronavirus 229E	KT253278	816	2010	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/BUO2B-F210/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253279	816	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/BUO2E-F101/Hip_aba/GHA/2011	Human coronavirus 229E	KT253280	816	2011	Bat	Hipposideros abae	Ghana	genomic RNA	
BtCoV/BUO2E-F124/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253281	816	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/BUO2E-F155/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253282	816	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/BUO2E-F156/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253283	816	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/BUO2E-F157/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253284	816	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/BUO2E-F159/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253285	816	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/BUO2E-F160/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253286	816	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/BUO2E-F27/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253287	816	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/BUO2E-F39/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253288	816	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/BUO2E-F58/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253262	5005	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/FO-A-42/Hip_aba/GHA/2010	Human coronavirus 229E	KT253261	5005	2010	Bat	Hipposideros abae	Ghana	genomic RNA	
BtCoV/FO-A-58/Hip_aba/GHA/2010	Human coronavirus 229E	KT253289	816	2010	Bat	Hipposideros abae	Ghana	genomic RNA	
BtCoV/FO-A-73/Hip_cf._rub/GHA/2010	Human coronavirus 229E	KT253290	816	2010	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/FO1A-F2/Hip_aba/GHA/2010	Human coronavirus 229E	KT253270	28020	2010	Bat	Hipposideros abae	Ghana	genomic RNA	
BtCoV/FO1E-F11/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253291	816	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
